DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,team,match
5,1,5,728.63794,alive,2,2,2,2,4,170.33606,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,3542.3708,0,0.0,0,1844,0,1055.9238,3,1,DAY,2
4,0,6,580.536,alive,1,6,14,1,1,21.578196,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,2886.4072,0,0.0,0,1844,0,1440.3767,8,1,DAY,2
0,0,3,28.066189,alive,0,4,36,0,0,0.0,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,1,3909.5063,0,0.0,0,1831,0,1682.9767,7,1,DAY,2
3,3,2,701.04486,alive,1,1,5,1,2,35.881783,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,2,3645.3672,0,0.0,0,1844,0,1845.9357,5,1,DAY,2
3,1,2,637.9367,byplayer,0,2,6,1,2,250.99329,NAVI_Mell,account.db97ab142d4748e694dd3fe24222efdb,1,865.05115,0,0.0,0,1844,0,850.1168,8,2,NAVI,2
4,2,3,597.7106,byplayer,1,3,3,1,3,166.41896,NAVI_alya,account.324e82760e13456bbffb2c0702c2e945,0,1265.8713,0,0.0,0,1844,1,980.4788,5,2,NAVI,2
2,2,1,523.76526,byplayer,1,1,7,1,2,204.8194,NAVI_ubah,account.63bc86b07068499190e11cb0e1e9d516,1,1595.3732,0,0.0,0,1747,0,1019.9777,4,2,NAVI,2
2,4,7,627.35004,byplayer,0,4,37,0,0,0.0,NAVI_xmpl,account.ba5311c89cd04394938935a9afa23a65,0,1147.1699,0,0.0,0,1844,0,1260.3838,8,2,NAVI,2
1,2,4,301.4339,byplayer,0,5,38,0,0,0.0,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,2,6765.9775,0,0.0,0,1619,1,988.7722,6,3,EIQ,2
0,0,3,19.507122,byplayer,0,2,39,0,0,0.0,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,1,6796.3525,0,0.0,0,856,0,687.24475,4,3,EIQ,2
2,1,5,260.79297,byplayer,1,4,15,1,1,217.05537,EIQ_Naylup,account.7cf7d92744ee4b5aa14bd60bf2a3626b,0,6698.155,0,0.0,0,1648,0,975.21606,9,3,EIQ,2
1,1,5,312.77136,byzone,0,2,8,1,2,146.64871,EIQ_ivas,account.425beae7fa9d409bbe07568010f55181,0,7270.6675,0,0.0,1,1657,1,678.5365,3,3,EIQ,2
0,0,1,55.44,byplayer,0,1,40,0,0,0.0,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,874.92114,0,0.0,0,715,1,1041.4951,4,4,CES,2
1,1,0,199.63,byplayer,0,0,17,1,1,14.238756,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,0,575.76624,0,0.0,0,875,0,686.4437,3,4,CES,2
4,1,9,379.6582,byplayer,1,9,9,1,2,33.04201,CES_Himass,account.14d7d7472027408faffd2848885ad89e,1,1791.6698,0,0.0,0,1641,0,916.73773,5,4,CES,2
0,0,6,112.755646,byzone,0,7,16,1,1,20.509974,CES_Sololzy,account.00ea83d7b05b405fb7714d20b0d73228,2,1220.451,0,0.0,0,1641,0,994.52625,3,4,CES,2
1,0,6,104.74067,suicide,0,3,18,1,1,112.92758,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,1,2890.416,0,0.0,0,1623,0,864.75415,4,5,17,2
0,0,2,26.912876,byplayer,0,1,42,0,0,0.0,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,2991.0679,0,0.0,0,1416,0,720.6367,3,5,17,2
0,0,4,192.32996,byplayer,0,3,41,0,0,0.0,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,2,2950.6982,0,0.0,0,1564,0,1013.4879,4,5,17,2
0,1,6,229.21254,byplayer,1,10,10,1,2,154.99498,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,0,1664.9886,0,0.0,0,1623,0,1523.1989,2,5,17,2
1,2,5,181.55386,byplayer,0,4,19,1,1,8.01209,eU_Snakers,account.352e546623ae4b2c902068825a5c99af,0,3918.1284,0,0.0,0,1177,1,1057.9839,4,6,eU,2
3,0,8,473.7436,byplayer,0,5,4,2,3,116.74121,eU_Fludd,account.ce4a08811bee48a2a75851fe6545df8c,0,4134.094,0,0.0,0,1619,0,865.1202,2,6,eU,2
1,3,4,339.59555,byplayer,1,1,20,1,1,212.28517,eU_Kickstart,account.6a886e58e2ea4c6e9f0092fbc3a4de9b,1,6014.2695,0,0.0,0,1163,0,733.37164,3,6,eU,2
0,0,3,0.0,byplayer,0,2,43,0,0,0.0,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,0,1672.1283,0,0.0,0,1154,0,1797.1909,3,6,eU,2
0,0,4,250.1228,byplayer,0,4,23,1,1,7.1878357,WC_Ykikamucow,account.257ebd9a9e044d75a4bdaf6ef7334d68,0,6208.3813,0,0.0,0,1415,0,1371.5872,3,7,WC,2
1,0,6,353.04715,byplayer,0,6,22,1,1,28.011988,WC_nicoos,account.385216b5ffe54340951c5a9bebd532e4,0,6927.0894,0,0.0,0,1587,0,1312.1093,4,7,WC,2
0,1,3,230.10796,byplayer,0,3,21,1,1,6.552216,WC_Adam,account.6d861d09565241f5b2f4eda11744468d,0,6428.1055,0,0.0,0,1587,0,1178.4093,4,7,WC,2
2,1,3,267.86234,byplayer,1,0,24,1,1,19.271439,WC_GregShotGG,account.7de92369fe4f4f24874d719a4bf6895d,0,6361.685,0,0.0,0,1324,0,1392.9315,4,7,WC,2
2,1,4,343.05356,byplayer,0,7,26,1,1,141.57622,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,0,2633.8293,0,0.0,0,1320,0,1218.525,3,8,DNW,2
5,0,1,684.1093,byplayer,3,1,1,6,10,350.49902,DNW_seoul,account.43aebbb76237427d838017e09fee0711,1,2703.2397,0,0.0,0,1349,0,1206.8097,5,8,DNW,2
0,2,1,204.51302,byplayer,0,3,44,0,0,0.0,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,0,3458.1118,0,0.0,0,1352,0,1638.956,2,8,DNW,2
1,4,4,442.88116,byplayer,0,0,25,1,1,37.109875,DNW_Salute,account.d3bdf7ff059d49b39564b9294f6451ae,0,4031.6965,0,0.0,0,1346,0,1038.5695,7,8,DNW,2
0,0,4,0.0,byplayer,0,0,46,0,0,0.0,TWIS_BatulinS,account.261d2f43ea804464afd413351639f531,0,1540.6793,0,0.0,0,1128,0,659.17914,3,9,TWIS,2
0,0,0,0.0,byplayer,0,0,47,0,0,0.0,TWIS_spyrro,account.caf93e0eb8804b478a6a4b2d4d69f54f,0,17.375725,0,0.0,0,123,0,80.68595,1,9,TWIS,2
0,0,0,174.78362,byplayer,0,0,45,0,0,0.0,TWIS_Perfect1ks,account.806c51ce23634e02ace2089773349500,0,1716.9198,0,0.0,0,1155,0,923.22577,5,9,TWIS,2
2,1,3,226.6086,byplayer,0,11,27,1,1,9.766982,TWIS_Lu,account.e38f365512844e41a3c47995948d46cb,0,1559.9548,0,0.0,0,1314,0,1045.0868,6,9,TWIS,2
1,0,4,145.72664,byplayer,0,1,28,1,1,62.07922,QM_ADOUZ1E,account.46808f45b4834bcb9e91751a3df9aceb,0,6505.0537,0,0.0,0,1308,0,1521.4048,4,10,QM,2
0,0,6,67.27954,byplayer,0,1,29,1,1,191.11469,QM_F1lfirst,account.e59e5914ee7b45499702b0632aaeaee5,0,5020.8447,0,0.0,0,1302,0,1905.1667,6,10,QM,2
0,0,2,0.0,byplayer,0,0,48,0,0,0.0,QM_HoBBitEz,account.4fbd5a8236b54beaab4fc9f606260965,1,3483.3496,0,0.0,0,1308,0,2144.9922,3,10,QM,2
0,0,2,22.138271,byplayer,0,2,30,1,1,185.8295,QM_DaNte,account.726610ed4e384ccea442b02e601be327,0,5126.6016,0,0.0,0,1291,0,1384.5536,6,10,QM,2
3,1,1,203.5639,byplayer,1,7,12,2,2,30.187334,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,0,3665.922,0,0.0,0,1167,0,1096.8616,4,11,TMA,2
1,1,6,398.25443,byplayer,1,1,13,2,2,20.34854,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,0,3142.5366,0,0.0,0,1160,0,1035.6748,3,11,TMA,2
1,2,5,473.85492,byplayer,0,1,49,0,0,0.0,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,0,2947.1086,0,0.0,0,1183,0,1391.0875,10,11,TMA,2
1,0,4,457.49756,byplayer,2,2,11,1,2,539.81146,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,0,2943.7866,0,0.0,0,1183,0,935.52704,3,11,TMA,2
0,0,1,100.31847,byplayer,0,3,51,0,0,0.0,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,0,3532.9937,0,0.0,0,1169,0,1197.2344,4,12,YAHO,2
1,0,1,143.31107,byplayer,1,0,31,1,1,28.939882,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,2102.0854,0,0.0,0,1150,0,862.48865,4,12,YAHO,2
