character_name,Item_Heal_MedKit,match_id,Item_Heal_FirstAid_C,Item_Heal_Bandage_C,Item_Boost_AdrenalineSyringe_C,Item_Boost_PainKiller_C,Item_Boost_EnergyDrink_C,Item_Weapon_Molotov_C,Item_Weapon_SmokeBomb_C,Item_Weapon_FlashBang_C,Item_Weapon_Grenade_C
EXO_Akita,1.0,3,4.0,1.0,,2.0,3.0,,7.0,3.0,3.0
EXO_Hikerman,,3,,,,,,,,,
EXO_Rain,,3,4.0,1.0,,2.0,5.0,2.0,7.0,3.0,3.0
EXO_empt,2.0,3,7.0,1.0,1.0,2.0,8.0,1.0,4.0,4.0,4.0
EXO_kang,,3,5.0,1.0,,1.0,5.0,2.0,5.0,8.0,2.0
FaZe_Fexx,,3,,,,,,,,,
FaZe_Gustav,,3,,,,,,,,,
FaZe_curexi,,3,,,,,,,,,
FaZe_jeemzz,,3,,,,,,,,,
GBL_Glaz,,3,5.0,1.0,,2.0,7.0,1.0,5.0,1.0,
GBL_Gyumin,,3,6.0,4.0,,2.0,2.0,1.0,5.0,11.0,1.0
GBL_Heaven,,3,4.0,2.0,,2.0,5.0,,6.0,2.0,1.0
GBL_Tosi,,3,4.0,3.0,,1.0,5.0,4.0,3.0,6.0,8.0
GEN_DG98,1.0,3,4.0,4.0,,3.0,3.0,2.0,4.0,6.0,4.0
GEN_Foxy,,3,5.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,
GEN_Pio,2.0,3,5.0,2.0,1.0,6.0,2.0,4.0,2.0,7.0,5.0
GEN_taemin,,3,5.0,2.0,,2.0,5.0,1.0,7.0,5.0,4.0
GEX_Leo,,3,,,,,,,,,
GEX_Savior,,3,,,,,,,,,
GEX_Yuri,,3,,,,,,,,,
GEX_ZhenNan,,3,,,,,,,,,
HOWL_Apocalyp,,3,,,,,,,,,
HOWL_RuerN,,3,,,,,,,,,
HOWL_TheMad,,3,,,,,,,,,
HOWL_scof1eld,,3,,,,,,,,,
III_Adam,,3,,,,,,,,,
III_RichyB,,3,,,,,,,,,
III_Vox,,3,,,,,,,,,
III_oldless,,3,,,,,,,,,
LG_Fludd,,3,4.0,2.0,,2.0,5.0,,5.0,4.0,1.0
LG_Kickstart,,3,4.0,1.0,,1.0,3.0,,5.0,3.0,2.0
LG_Relo,,3,6.0,1.0,,,6.0,1.0,4.0,3.0,1.0
LG_Snakers,1.0,3,4.0,5.0,1.0,2.0,3.0,2.0,3.0,6.0,4.0
NAVI_Mell,1.0,3,7.0,3.0,,1.0,4.0,1.0,5.0,,1.0
NAVI_alya,,3,5.0,3.0,,1.0,8.0,,7.0,6.0,1.0
NAVI_ubah,,3,6.0,3.0,1.0,,7.0,4.0,5.0,5.0,1.0
NAVI_xmpl,,3,4.0,2.0,,3.0,5.0,1.0,3.0,2.0,2.0
NH_HSmm,,3,5.0,1.0,1.0,3.0,3.0,1.0,5.0,4.0,3.0
NH_MMing,,3,4.0,1.0,,2.0,2.0,1.0,3.0,5.0,3.0
NH_Nannnnn,,3,3.0,1.0,,3.0,7.0,1.0,5.0,2.0,3.0
NH_ZpYan1,,3,6.0,1.0,1.0,2.0,10.0,1.0,7.0,5.0,4.0
PLM_BORBO4Tz,,3,4.0,2.0,,3.0,5.0,1.0,9.0,3.0,3.0
PLM_Flukky,1.0,3,5.0,3.0,,2.0,7.0,,5.0,2.0,3.0
PLM_ThanawatTH,1.0,3,3.0,1.0,1.0,5.0,5.0,2.0,3.0,4.0,2.0
PLM_Thunderz,,3,4.0,2.0,,4.0,1.0,,5.0,6.0,3.0
PTG_Adder,,3,6.0,1.0,,5.0,1.0,,7.0,6.0,
PTG_Akad,1.0,3,8.0,2.0,,6.0,1.0,2.0,2.0,2.0,3.0
PTG_Hikari,1.0,3,5.0,1.0,,3.0,2.0,,2.0,2.0,1.0
PTG_WICKED,,3,8.0,2.0,,1.0,3.0,,2.0,7.0,
PeRo_AZ,,3,3.0,5.0,,,3.0,2.0,3.0,5.0,2.0
PeRo_Aixleft,2.0,3,1.0,3.0,,,4.0,4.0,3.0,4.0,3.0
PeRo_Cui71,,3,3.0,3.0,,,1.0,,1.0,2.0,
PeRo_Myl,,3,2.0,3.0,1.0,2.0,3.0,,3.0,1.0,3.0
SQ_M1ME,,3,6.0,2.0,,2.0,5.0,1.0,3.0,3.0,3.0
SQ_Shrimzy,1.0,3,9.0,2.0,,4.0,4.0,,5.0,6.0,1.0
SQ_TGLTN,,3,5.0,3.0,,1.0,5.0,2.0,2.0,3.0,3.0
SQ_hwinn,,3,8.0,2.0,1.0,3.0,6.0,,3.0,7.0,4.0
SST_Feaven,1.0,3,7.0,1.0,,,8.0,1.0,2.0,3.0,2.0
SST_Imhac,,3,4.0,,,2.0,5.0,,5.0,2.0,2.0
SST_Runax,1.0,3,5.0,2.0,,4.0,3.0,,6.0,,1.0
SST_Tae9,1.0,3,4.0,1.0,,3.0,2.0,,6.0,2.0,3.0
STK_PurdyKurty,2.0,3,6.0,2.0,,2.0,5.0,1.0,3.0,5.0,2.0
STK_Vegas,,3,5.0,1.0,,4.0,4.0,1.0,10.0,1.0,9.0
STK_alow,1.0,3,4.0,4.0,,1.0,4.0,,4.0,2.0,1.0
STK_penta,,3,5.0,2.0,,2.0,2.0,1.0,6.0,1.0,2.0
TWIS_BatulinS,2.0,3,7.0,3.0,,3.0,6.0,1.0,7.0,6.0,4.0
TWIS_Lu,,3,5.0,1.0,,4.0,1.0,2.0,7.0,3.0,7.0
TWIS_Perfect1ks,,3,5.0,1.0,,2.0,4.0,,2.0,,2.0
TWIS_TheTab,,3,,,,,,,,,
TWIS_spyrro,1.0,3,6.0,5.0,,3.0,5.0,,8.0,9.0,4.0
Tian_77owo,,3,,,,,,,,,
Tian_LinShu,,3,,,,,,,,,
Tian_LongSkr,,3,,,,,,,,,
Tian_PaoPao,,3,,,,,,,,,
17_Lilghost,,4,,,,,,,,,
17_SuJiu,,4,,,,,,,,,
17_Xbei,,4,,,,,,,,,
17_xwudd,,4,,,,,,,,,
4AM_CRAZY112,,4,6.0,2.0,1.0,2.0,8.0,1.0,4.0,1.0,6.0
4AM_Summer,1.0,4,4.0,2.0,,2.0,8.0,,4.0,3.0,4.0
4AM_WangZai,,4,,,,,,,,,
4AM_Xiaohaixxxx,,4,4.0,1.0,,2.0,6.0,1.0,1.0,3.0,4.0
4AM_xxxLu,1.0,4,4.0,1.0,,1.0,6.0,1.0,3.0,1.0,4.0
ACE_ItzzChrizZ,1.0,4,3.0,2.0,,1.0,6.0,2.0,6.0,2.0,3.0
ACE_KILYAKAi,,4,5.0,2.0,,,6.0,,6.0,,3.0
ACE_Myca,,4,3.0,2.0,,,6.0,1.0,5.0,,3.0
ACE_braex,,4,7.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,
CES_HaiSaki,,4,6.0,1.0,,2.0,6.0,2.0,8.0,1.0,2.0
CES_Himass,,4,4.0,1.0,,2.0,4.0,2.0,3.0,1.0,2.0
CES_Taikonn,1.0,4,5.0,2.0,,2.0,7.0,,6.0,2.0,4.0
CES_YmCud,,4,4.0,,,1.0,3.0,,2.0,1.0,1.0
DAY_Belmoth,,4,,,,,,,,,
DAY_Flash,,4,,,,,,,,,
DAY_Nourinz,,4,,,,,,,,,
DAY_PuuChiwz,,4,,,,,,,,,
DNW_Inonix,,4,,,,,,,,,
DNW_Loki,,4,,,,,,,,,
DNW_Salute,,4,,,,,,,,,
DNW_seoul,,4,,,,,,,,,
EXO_Akita,1.0,4,3.0,4.0,,2.0,4.0,1.0,1.0,2.0,
EXO_Hikerman,,4,,,,,,,,,
EXO_Rain,,4,3.0,2.0,,2.0,1.0,,7.0,1.0,3.0
EXO_empt,,4,6.0,3.0,,3.0,6.0,6.0,6.0,4.0,3.0
EXO_kang,,4,4.0,1.0,,3.0,5.0,3.0,6.0,,1.0
FaZe_Fexx,,4,,,,,,,,,
FaZe_Gustav,,4,,,,,,,,,
FaZe_curexi,,4,,,,,,,,,
FaZe_jeemzz,,4,,,,,,,,,
GBL_Glaz,,4,4.0,1.0,,,6.0,,4.0,,
GBL_Gyumin,1.0,4,3.0,2.0,,3.0,1.0,,4.0,3.0,1.0
GBL_Heaven,,4,3.0,1.0,,,11.0,,7.0,1.0,1.0
GBL_Tosi,1.0,4,4.0,1.0,,2.0,4.0,2.0,5.0,,1.0
GEN_DG98,,4,4.0,4.0,,2.0,5.0,2.0,2.0,3.0,2.0
GEN_Foxy,,4,6.0,1.0,,1.0,9.0,,,,1.0
GEN_Pio,,4,4.0,1.0,1.0,1.0,9.0,2.0,4.0,2.0,
GEN_taemin,,4,2.0,1.0,,2.0,8.0,,1.0,1.0,1.0
GEX_Leo,,4,,,,,,,,,
GEX_Savior,,4,,,,,,,,,
GEX_Yuri,,4,,,,,,,,,
GEX_ZhenNan,,4,,,,,,,,,
HOWL_Apocalyp,,4,,,,,,,,,
HOWL_RuerN,,4,,,,,,,,,
HOWL_TheMad,,4,,,,,,,,,
HOWL_scof1eld,,4,,,,,,,,,
III_Adam,,4,,,,,,,,,
III_RichyB,,4,,,,,,,,,
III_Vox,,4,,,,,,,,,
III_oldless,,4,,,,,,,,,
LG_Fludd,,4,4.0,2.0,,2.0,3.0,1.0,1.0,2.0,2.0
