attacker_name,Item_Weapon_Molotov_C,match_id,Item_Weapon_SmokeBomb_C,Item_Weapon_Grenade_C,Item_Weapon_FlashBang_C
GBL_Heaven,2.0,6,3.0,2.0,
GBL_Tosi,1.0,6,3.0,3.0,2.0
GEN_DG98,1.0,6,6.0,2.0,1.0
GEN_Foxy,,6,,2.0,
GEN_Pio,1.0,6,6.0,3.0,
GEN_taemin,,6,2.0,3.0,2.0
GEX_Leo,,6,,,
GEX_Savior,,6,,,
GEX_Yuri,,6,,,
GEX_ZhenNan,,6,,,
HOWL_Apocalyp,,6,,,
HOWL_RuerN,,6,,,
HOWL_TheMad,,6,,,
HOWL_scof1eld,,6,,,
III_Adam,,6,,,
III_RichyB,,6,,,
III_Vox,,6,,,
III_oldless,,6,,,
LG_Fludd,,6,2.0,,
LG_Kickstart,1.0,6,4.0,2.0,2.0
LG_Relo,,6,2.0,,
LG_Snakers,,6,,,
NAVI_Mell,,6,,,
NAVI_alya,,6,,,
NAVI_ubah,,6,,1.0,2.0
NAVI_xmpl,,6,,,
NH_HSmm,,6,,,
NH_MMing,,6,,,
NH_Nannnnn,,6,3.0,2.0,
NH_ZpYan1,,6,,,
PLM_BORBO4Tz,,6,,,
PLM_Flukky,,6,1.0,,
PLM_ThanawatTH,,6,1.0,,
PLM_Thunderz,,6,2.0,,1.0
PTG_Adder,,6,,1.0,
PTG_Akad,,6,,,
PTG_Hikari,,6,,1.0,
PTG_WICKED,,6,,,
PeRo_AZ,,6,,,
PeRo_Aixleft,,6,,,
PeRo_Cui71,,6,,,
PeRo_Myl,,6,,,
SQ_M1ME,1.0,6,6.0,4.0,
SQ_Shrimzy,,6,6.0,1.0,
SQ_TGLTN,,6,5.0,,
SQ_hwinn,,6,4.0,1.0,
SST_Feaven,,6,2.0,,
SST_Imhac,1.0,6,1.0,1.0,
SST_Runax,,6,,,
SST_Tae9,,6,,2.0,
STK_PurdyKurty,,6,,5.0,
STK_Vegas,2.0,6,6.0,4.0,
STK_alow,1.0,6,6.0,,4.0
STK_penta,,6,,1.0,
TWIS_BatulinS,1.0,6,2.0,2.0,
TWIS_Lu,,6,3.0,,
TWIS_Perfect1ks,1.0,6,3.0,2.0,
TWIS_TheTab,,6,,,
TWIS_spyrro,,6,4.0,4.0,2.0
Tian_77owo,,6,,,
Tian_LinShu,,6,,,
Tian_LongSkr,,6,,,
Tian_PaoPao,,6,,,
17_Lilghost,,7,,,
17_SuJiu,2.0,7,,1.0,1.0
17_Xbei,,7,1.0,2.0,2.0
17_xwudd,,7,,1.0,2.0
4AM_CRAZY112,1.0,7,8.0,7.0,1.0
4AM_Summer,1.0,7,8.0,4.0,3.0
4AM_WangZai,2.0,7,6.0,4.0,2.0
4AM_Xiaohaixxxx,,7,4.0,6.0,3.0
4AM_xxxLu,,7,,,
ACE_ItzzChrizZ,,7,,,
ACE_KILYAKAi,,7,,,
ACE_Myca,,7,,,
ACE_braex,,7,,,
CES_HaiSaki,,7,,,
CES_Himass,,7,,,
CES_Taikonn,,7,,,
CES_YmCud,,7,,,
DAY_Belmoth,3.0,7,5.0,1.0,5.0
DAY_Flash,2.0,7,2.0,2.0,1.0
DAY_Nourinz,1.0,7,1.0,2.0,1.0
DAY_PuuChiwz,1.0,7,5.0,1.0,
DNW_Inonix,2.0,7,6.0,2.0,
DNW_Loki,,7,4.0,,1.0
DNW_Salute,1.0,7,2.0,,
DNW_seoul,,7,4.0,4.0,
EXO_Akita,,7,,,
EXO_Hikerman,,7,,,
EXO_Rain,,7,,,
EXO_empt,,7,,,
EXO_kang,,7,,,
FaZe_Fexx,1.0,7,1.0,1.0,
FaZe_Gustav,,7,2.0,2.0,
FaZe_curexi,2.0,7,3.0,2.0,
FaZe_jeemzz,,7,,1.0,
GBL_Glaz,,7,,,
GBL_Gyumin,,7,,,
GBL_Heaven,,7,,,
GBL_Tosi,,7,,,
GEN_DG98,,7,,,
GEN_Foxy,,7,,,
GEN_Pio,,7,,,
GEN_taemin,,7,,,
GEX_Leo,,7,,,
GEX_Savior,,7,,,
GEX_Yuri,,7,1.0,,
GEX_ZhenNan,,7,,1.0,
HOWL_Apocalyp,,7,,,
HOWL_RuerN,3.0,7,3.0,1.0,
HOWL_TheMad,,7,,1.0,
HOWL_scof1eld,,7,,,
III_Adam,1.0,7,,,
III_RichyB,1.0,7,,1.0,
III_Vox,1.0,7,,3.0,2.0
III_oldless,,7,,1.0,
LG_Fludd,,7,,,
LG_Kickstart,,7,,,
LG_Relo,,7,,,
LG_Snakers,,7,,,
NAVI_Mell,,7,,,
NAVI_alya,,7,,,
NAVI_ubah,,7,,,
NAVI_xmpl,,7,,,
NH_HSmm,,7,,1.0,
NH_MMing,,7,,1.0,
NH_Nannnnn,1.0,7,1.0,4.0,1.0
NH_ZpYan1,,7,,1.0,
PLM_BORBO4Tz,1.0,7,4.0,,3.0
PLM_Flukky,,7,,1.0,1.0
PLM_ThanawatTH,,7,,2.0,2.0
PLM_Thunderz,,7,3.0,1.0,
PTG_Adder,,7,,,
PTG_Akad,,7,,,
PTG_Hikari,,7,,,
PTG_WICKED,,7,,,
PeRo_AZ,,7,,,
PeRo_Aixleft,,7,,,
PeRo_Cui71,,7,,,
PeRo_Myl,,7,,,
SQ_M1ME,1.0,7,4.0,3.0,
SQ_Shrimzy,,7,2.0,,
SQ_TGLTN,,7,2.0,,1.0
SQ_hwinn,,7,1.0,,
SST_Feaven,,7,,,
SST_Imhac,1.0,7,1.0,,
SST_Runax,,7,,1.0,
SST_Tae9,,7,,,
STK_PurdyKurty,,7,2.0,,
STK_Vegas,,7,4.0,1.0,
STK_alow,,7,4.0,,
STK_penta,,7,1.0,1.0,
TWIS_BatulinS,1.0,7,,2.0,
TWIS_Lu,,7,5.0,3.0,1.0
TWIS_Perfect1ks,,7,,,
TWIS_TheTab,1.0,7,2.0,2.0,
TWIS_spyrro,,7,3.0,3.0,
Tian_77owo,,7,1.0,,
